campaign,kind,tag,m_parent,dm,comparison_status,limit_status,historical_only,reference_fb,limit_fb,residual,reported_raw_mu,reported_model_mu,sample_status,bracket_width_over_reported,linear_interpolation_match,first_interval,sr_s_imt2h_events,n_detector_events,detector_exposure_complete,signal_stat_nuisance_present
pdf_rescan,expected,m200_dm2,200.0,2.0,matched,legacy_reported,True,111.42,134.92322205589105,0.21094257813580186,2.4695860078845375,2.2254013732029985,sampled_bracket,0.32390044219808295,True,False,42.0,20000,True,False
pdf_rescan,expected,m200_dm5,200.0,5.0,matched,legacy_reported,True,39.230000000000004,45.25459934244481,0.1535712297334899,0.8283238691277817,0.7464218982163789,sampled_bracket,0.2266596564957871,True,False,200.0,20000,True,False
pdf_rescan,expected,m200_dm10,200.0,10.0,matched,legacy_reported,True,39.374,32.4556909043489,-0.17570755055750253,0.5940572639186087,0.5353188132200889,sampled_bracket,0.1091027290943682,True,False,346.0,20000,True,False
pdf_rescan,expected,m200_dm20,200.0,20.0,matched,legacy_reported,True,78.862,78.95946673957616,0.0012359151375334054,1.4452456091606347,1.3023444224956315,sampled_bracket,0.276700373601033,True,False,178.0,20000,True,False
pdf_rescan,expected,m200_dm30,200.0,30.0,matched,legacy_reported,True,117.41,141.48895524389866,0.2050843645677427,2.589762820782542,2.3336954935926224,sampled_bracket,0.30886998360656687,True,False,107.0,20000,True,False
pdf_rescan,expected,m200_dm40,200.0,40.0,matched,legacy_reported,True,170.58,220.70196065310472,0.2938325750563062,4.039649110334847,3.640221741091816,sampled_bracket,0.19801224763645284,True,False,77.0,20000,True,False
pdf_rescan,expected,m225_dm2,225.0,2.0,matched,legacy_reported,True,85.545,103.5547471414304,0.2105295124370845,2.975964877574421,2.667476366184899,sampled_bracket,0.2687867743425667,True,False,57.0,20000,True,False
pdf_rescan,expected,m225_dm5,225.0,5.0,matched,legacy_reported,True,40.007,33.962752541449746,-0.1510797475079424,0.9760243880569409,0.8748497025556248,sampled_bracket,0.13262930546395715,True,False,245.0,20000,True,False
pdf_rescan,expected,m225_dm10,225.0,10.0,matched,legacy_reported,True,35.812999999999995,30.462636495597938,-0.1493972441404534,0.8754377640013228,0.784689887685304,sampled_bracket,0.21446139447495963,True,False,342.0,20000,True,False
pdf_rescan,expected,m225_dm20,225.0,20.0,matched,legacy_reported,True,68.232,64.1635162190029,-0.059627209828190586,1.843936429381076,1.6527939839566832,sampled_bracket,0.21660182728428443,True,False,219.0,20000,True,False
